KDOE_LELANG,NAMA_PAKET,SATKER,KUALIFIKASI,METODE,EVALUASI,JENIS,TAHUN,IS_GAGAL,HPS
24345066,PEMATANGAN LAHAN RUSUNAWA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,2200000000
24338066,"PENGADAAN, PEMASANGAN POMPA LISTRIK DAN INSTALASI ME KAPASITAS 300 LITER/DETIK PERUMAHAN PINANG GRIYA ",PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,0,384100000
24337066,PENGADAAN DAN PEMASANGAN POMPA LISTRIK DAN INSTALASI ME KAPASITAS 67 LITER/DETIK PERUMAHAN NILA CANDI ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,0,216400000
24336066,"PENGADAAN, PEMASANGAN POMPA LISTRIK DAN INSTALASI ME KAPASITAS 300 LITER/DETIK PERUMAHAN PURI KARTIKA ",PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,0,384100000
24335066,"PENGADAAN, PEMASANGAN POMPA LISTRIK DAN INSTALASI ME KAPASITAS 300 LITER/DETIK PERUMAHAN DUREN VILLA ",PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,0,384100000
24334066,"PENGADAAN, PEMASANGAN POMPA LISTRIK DAN INSTALASI ME KAPASITAS 300 LITER/DETIK KECAMATAN PERIUK ",PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,0,384100000
24327066,PEMATANGAN LAHAN RUSUNAWA ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,2200000000
24321066,PENGADAAN DAN PEMASANGAN WARNING LIGHT ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,358200000
24316066,PEMBANGUNAN JARINGAN DAN INSTALASI PJU KEC. CIPONDOH TYPE 45,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,241800000
24309066,PENGADAAN BMHP - BAHAN KIMIA NON E-KATALOG,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PENGADAAN BARANG,2022,0,3100000000
24304066,REHABILITASI SEDANG/BERAT GEDUNG PUSPEM ,PEMERINTAH DAERAH KOTA TANGERANG,PASCAKUALIFIKASI SATU FILE,TENDER,HARGA TERENDAH SISTEM GUGUR,PEKERJAAN KONSTRUKSI,2022,0,650000000
